Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE
Linear Regression,0.7911342446202215,0.7875411587122337,0.7842811792403072,0.835119902299937,0.6446676513795699,0.6922037876837815
Random Forest,0.9566330968122352,0.7227067750730236,0.35736941226861696,0.9540717987453816,0.2588638799094635,0.7400038358335401
Gradient Boosting,0.9975876532142273,0.7640947566166462,0.08428650435373634,0.8799950443120323,0.06490852266352512,0.6955480741885615
